"Author","Title","Publisher","Date","Pages","Library","Location","Internet (eBooks)","Notes","id"
"Hengstenberg, Ernst W.","Dissertations on the Genuineness of Daniel and the Integrity of Zechariah, tr. B.P. Pratten, And a Diss. on the Prophecy of Balaam, tr. J.E. Ryland","Edinburgh: T. & T. Clark",1848,"569 pp.","C","AU, PUC","Arch",,820
"Hengstenberg, Ernst W.","The Prophecies of the Prophet Ezekiel Elucidated, tr. A.C. & J.G. Murphy","Edinburgh: T. & T. Clark",1869,"538 pp.","C","AU, PUC","Goo",,821
"Henry, James","Sketches of Moravian Life and Character","Phila.: J.B. Lippincott and Co.",1859,"316 pp.","B","WE, AU","Goo,MOA",,822
"Henry, Matthew","A Method for Prayer, with Scripture Expression, Proper to be Used Under Each Head","Morris-Town, N.J.: P.A.Johnson, J. Mann",1818,"202 pp.","C","Fuller","Goo","(many ed.)",823
"Henry, Matthew","Henry's Bible","London: W. Collins",1860,"6 vols","A","WEa, AU","CCEL",,824
"Henry, Mrs. S. M. I.","The Abiding Spirit","Battle Creek, Mi.: Review and Herald Publ. Co.",1899,"316 pp.","(B)","SDA, WE",,,825
"Herbert, Hilary A.","The Abolition Crusade and its Consequences, Four Periods of American History","NY: C. Scribner's Sons",1912,"249 pp.","C,S","AU (Micro)","Goo",,826
"Herron, George D.","The Larger Christ","Chicago: Fleming H. Revell",1891,"122 pp.","A","AU, LC, LLU","Goo",,827
"Hersey, Lewis","Review of Chase's ""Remarks on the Book of Daniel.""","Boston: J.V. Himes",1844,"24 pp.","B","WE, AU",,"Advent Tracts No. VI",828
"Hessey, James A.","Biographies of the Kings of Judah; Twelve Lectures","London: Rivingtons",1865,"243 pp.","C","GTU","Goo",,829
"Hessey, James A.","Sunday. Its Origin, History, and Present Obligation... 8 Lectures","London: Cassell, Petter, Galpin & Co.",1880,"436 pp.","C","WEa, AU, LLU, LSU","Arch",,830
"Heyck, Edward","Luther [in German]","Bielefeld und Leipzig: Velhagen & Klasing",1909,"155 pp.","B","LC",,,831
"Hill, W.B.","Experiences of a Pioneer Minister in Minnesota","Minneapolis: J. A. Folsom",1892,"185 pp.","C","WE, AU, LLU, LSU","Arch,Hathi",,832
"Himes, Joshua V.","Pictoral Chart of Daniel's Visions",,,,"B",,,,833
"Himes, Joshua V., ed.","Views of the Prophecies and Prophetic Chronology","Boston: Moses A. Dow",1841,"252 pp.","B","WE, AU, LSU","Goo (1842 ed.)",,834
"Himes, Joshua V., ed.","Views of the Prophecies and Prophetic Chronology","Boston: J.V. Himes",1842,"252 pp.","B","WE, AU, LLU","Goo",,835
"Hitzig, Ferdinand","Diezwolf Kleiner Propheten Erklart, (The Twelve Minor Prophets)","Leipzig: Weidmann",1852,"407 pp.","C",,,"Several ed.",836
"Hoare, H.W.","see Hamilton-Hoare, H. W.",,,,,,,,837
"Hodge, Charles","Essays and Reviews","NY: R. Carter & Bros.",1857,"633 pp.","C","AU","Goo",,838
"Hogarth, David G.","Authority and Archaeology, Sacred and Profane...","London: J. Murray",1899,"440 pp.","C","AU","Goo","Several ed.",839
"Holbrook, Alfred","School Management","NY: A.S. Barnes",1872,"270 pp.","A","AU","Goo,Arch,MOA","Other works with same title - see Baldwin, J.",840
"Holdeman, John","A Treatise on Magistracy and War, Millen., Holi., & the Manifestation of Spirits","Carthage, Mo.: Press Bk. & Job Printing",1891,"303 pp.","A,B","Harv., AU","Goo",,841
"Hole, William","The Life of Jesus of Nazareth","London: Eyre and Spottiswoode","n.d.","183 pp.","B","WE, AU",,,842
"Holland, Josiah G.","Gold Foil Hammered from Popular Proverbs","NY: C. Scribner",1860,"358 pp.","A","WEa, AU, LLU, LSU","Goo,Arch,MOA",,843
"Holland, Josiah G.","Letters to the Joneses","NY: C. Scribner",1863,"347 pp.","A","LC, WEa, AU, LLU","Goo",,844
"Holland, Josiah G.","Titcomb's Letters to Young People","NY: C. Scribner",1858,"251 pp.","A","LC, AU, LLU, PUC","Goo,Arch,MOA",,845
"Holland, Josiah G., Timothy Titcomb, pseud.","Every Day Topics; a Book of Briefs","NY: Scribner, Armstrong and Co.",1876,"391 pp.+ix","A","LC, AU, LLU, LSU","MOA",,846
"Hooker, Richard","The Works of Mr. Richard Hooker","London: G. Cowie & Co.",1825,"2 Vols.","C","AU, LSU","Arch","Many ed.",847
"Hopkins, John H.","The History of the Confessional","NY: Harper",1850,"334 pp.","C","AU","Goo",,848
"Horne, Thomas H.","An Introduction to the Critical Study and Knowledge of the Holy Scriptures","London: Longman, Brown, Green, & Longmans",1846,"5 Vols.","C","Wea, AU, LLU, LSU","Goo",,849
"Hosmer, William","The Young Lady's Book; or, Principles of Female Education","Auburn: Derby and Miller",1851,"301 pp.","A","LC, BYU","Goo",,850
"Hoss, Elijah E.","Sunday-School Studies; or, Expository and Homiletical Notes on the International Lesson for 1895","Nashville: Publ. House of Meth. Episc. Church","1894?",,"C","NYPL",,,851
"Howat, Hugh T.","Elijah: The Desert Prophet","Edinburgh: W. Oliphant & Co.",1878,"292 pp.","C","UChicago, DTS","Goo",,852
"Howat, Hught T.","Elisha: The Prophet of Peace","Ediburgh: W. Oliphant & Co.",1878,"292 pp.","A,B,C","WE, U.Chicago","Goo",,853
"Howell, Clifford G.","The Advance Guard of Missions","Mountain View: Pacific Press Pub. Assn.",1912,"347 pp.","A","SDA, WEa",,,854
"Howerton, G.T.","Short Talks on Character Building","NY: Fowler & Wells",1892,"227 pp.","A","LC, UMich, Harv.","Hathi",,855
"Hughes, John","Esther and Her People ... in Ten Sermons","London: H. Hughes",1843,"218 pp.","C","Pitts. Theol. Sem.","Goo","Only U.S. library with this: Pittsburgh Sem.",856
"Hull, Moses","The Bible from Heaven: or, A Dissertation of the Evidences of Christianity","Battle Creek, Mi.: Steam Press",1863,"182 + 48 pp.","B","SDA WE",,"2 copies",857
"Humphrey, Heman","Revival Sketches and Manual","NY: American Tract Society",1859,"476 pp.","A","LC, WEa, AU","MOA",,858
"Hunt, John","Essay on Pantheism","London: Longmans",1866,"382 pp.","C","AU","Arch",,859
"Hunter, Peter H.","After the Exile; a Hundred Years of Jewish History and Literature","Edinburgh: Oliphant, Anderson & Ferrier",1890,"2 Vols.","C","Duke","Arch",,860
"Hunter, Peter H.","Story of Daniel: His Life and Times","Edinburgh: James Gemmell",1883,"357 pp.","A","AU, LLU",,"2 copies",861
"Hunter, Robert, ed.","The Encyclopaedic Dictionary","Phila.: Syndicate Publ. Co.",1896,"4 vols.","A","LC, AU","Goo",,862
"Hurd, Richard","An Introduction to the Study of the Prophecies Concerning the Christian Church...","London: Joseph Rickerby",1834,"248 pp.","B","WE",,,863
"Hurlbut, Jesse L.","see Simons, Michael L.",,,,,,,,864
"Ince, William","The Oxford Debate on Textual Criticism of the New Testament","London: George Bell",1897,"43 pp.","C","AU","Goo","Co-authored with Edward Miller",865
"Ingersoll, Robert G.","Lectures and Essays, a Selection. First-Third Series","London: Watts","1911-12","3 Vols. in 1, (1st and 3rd on inventory)","C","AU","Goo","also, Lambert's Notes on Ingersoll (pamphlet)",866
"Inglis, James","The Sabbath School and Bible Teaching","NY: Carlton and Porter","185-","224 pp.","B","OC",,,867
"Ingraham, Joseph H.","Throne of David","Phila.: G.C. Evans",1860,"603 pp.","A","LC, WEa",,,868
"Inspiration.","A Clerical Symposium on ""In What Sense, and Within What Limits, is the Bible the Word of God"" by Farrar, Cairns, Leathes, White, et al.","London: J. Nisbet & Co.",1884,"242 pp.","C","AU","Arch","Several ed.",869
"Irving, Edward","Babylon and Infidelity Foredoomed of God; a Discourse on the Prophecies of Daniel and the Apocalypse...","Glasgow: Chalmers & Collins",1826,"2 vols.","C","AU, LLU","Goo",,870
"Irving, Edward","For the Oracles of God; Four Orations. For Judgment to Come, an Argument, in Nine Parts","NY: J.F. Sibell",1823,"340 pp.","B","AU, LLU, PUC","Goo",,871
"Irving, Edward","Homilies on the Sacraments","London: A. Panton",1828,"452 pp.","C","Emory, Yale","Goo",,872
"Irving, Edward","The Last Days; a Discourse on the Evil Character of These Our Times, ...","London: R.B. Seeley",1828,"586 pp.","B","CUC, AU, LLU","Goo",,873
"Irving, Edward","The Rev. Edward Irving's Preliminary Discourse to the Work of Ben Ezra","London: Bosworth & Harrison",1859,"222 pp.","C","AU",,,874
"Iverach, James","St. Paul; His Life and Times","NY: Fleming H. Revell Co.","n.d.","216 pp.","C","WEa, AU, LSU","Arch",,875
"Jackson, Arthur","Annotations upon the Whole Book of Isaiah, ed. by J. Jackson","London: n.p.",1682,,"C","AU",,,876
"Jackson, James C.","Consumption: How to Prevent It, and How to Cure It","Boston: B. Leverett Emerson",1862,"400 pp.+ads","A","WE, AU, LLU",,,877
"Jackson, William, (of Paris)","Bibliotheca Theologica William Jackson: Paris","Leipzig: O. Harrassowitz",1910,"398 pp.","C","AU (reprint)","Hathi",,878
"Jacob, G.A.","The Ecclesiastical Polity of the New Testament. A Study for the Present Crisis...","London: Strahan & Co.",1871,"421 pp.","B","WE, AU, Duke","Goo,MOA",,879
"Jacobs, Simon Peter","The Real Christian","Battle Creek, Mi.: S.P. Jacobs",1899,"328 pp.","A,B","WE, AU",,"Possibly written by SDA in Battle Creek",880
"Jacobus, Melancthon W., E. E. Nourse and A. C. Zenos, ed.","A Standard Bible Dictionary","NY, London: Funk & Wagnalls Co.",1909,"920 pp.","(B)","WE, AU","Arch",,881
"Jahn, Johann","Jahn's History of the Hebrew Commonwealth, tr. Calvin E. Stowe","Andover: Godman Press by Flagg & Gould",1828,"692 pp.","B","WE, AU","Goo",,882
"James, John Angell","Course of Faith; or the Practical Believer Delineated","NY: Carter & Bros.",1853,"xii, 13 412 pp.","A","OC, U.Va, GTU, Iliff",,,883
"Jamieson, Robert, A.R. Fausset, and David Brown","The Portable Commentary. A Comm., Critical & Explanatory","Boston: Estes and Lauriat","187?","2 Vols.","B","NYPL, AU","Goo, CC EL",,884
"Jarvis, Samuel F.","A Chronological Introduction to the History of the Church","London: W.J. Cleaver",1844,"618 pp.","B","WE, AU, LSU","Goo",,885
"Jay, William","Morning Exercises for Every Day of the Year","NY, American Tract Society","186?","653 pp.","A","LC, NYPL, LLU","Goo",,886
"Jeffries, Alexis Cehon","The Last Message to a Lost World","Philadelphia: Cehon",1907,"220 pp.","B",,,"Not found in any library in the world - Warren Johns has a copy",887
"Jelf, Richard W.","An Inquiry into the Means of Grace, Their Mutual Connection, and Combined Use, ... Bampton Lecture, 1844","Oxford: J.H. Parker, etc.",1844,"397 pp.","C","AU","Arch",,888
"Jezreel, James J.","Pseudonym - see White, James",,,,,,,,889
"Jones, Alonzo T.","Christian Patriotism; or, Religion and State","Oakland, Cal.: Pacific Press",1900,"104 pp.","B","WE",,,890
"Jones, Alonzo T.","Church Federation and the Kingdom of God",,,,"B","WE",,,891
"Jones, Alonzo T.","Civil Government and Religion, Christianity and the American Constitution","Battle Creek, Mi.: Inter. Rel. Lib. Assn.",1894,"182 pp.","B","WE",,,892
"Jones, Alonzo T.","Civil Government and Religion; or Christianity and the American Constitution","Oakland, Cal.: American Sentinel","1889, 1890","176, 182 pp.","B","WE",,,893
"Jones, Alonzo T.","The Abiding Sabbath and the Lord's Day","Oakland, Cal.: Pacific Press",1888,"173 pp.","B","WE",,,894
"Jones, Alonzo T.","The Empires of the Bible","Battle Creek, Mi.: Review and Herald",1898,"410 pp.","C","WE",,,895
"Jones, Alonzo T.","The Great Empires of Prophecy","Battle Creek, Mi.: Review and Herald",1898,"696 pp.","C","WE",,,896
"Jones, Alonzo T.","The Two Republics","Battle Creek, Mi.: Review and Herald",1891,"895 pp.+ads.","A","WE",,,897
"Jones, George","Life-Scenes from the Four Gospels","Phila.: J.C. Garrigues & Co.",1868,"498 pp.","A,H","WE",,,898
"Jones, George","Life-Scenes from the Old Testament","Phila.: J.C. Garrigues and Co.",1868,"496 pp.","B,H","WE",,,899
"Jones, Tom","Scenic Treasures of California, including Grand Canyon of Arizona","Cincinnati: Tom Jones",1904,"[40] pp.","B","LC, AU, Berkely",,,900
"Josephus, Flavius","History of the Jews",,,,"A","WE, AU",,,901
"Josephus, Flavius","The Works of Flavius Josephus, tr. W. Whiston","Cincinnati: Applegate & Co.",1857,"880 pp.+ads","A,B,C","WE, AU","Goo,Arch",,902
"Junkin, George","The Little Stone and the Great Image: or, Lectures on the Prophecies...","Phila.: James M. Campbell & Co.",1844,"318 pp.","B","WE, AU","Arch",,903
"Kaye, John","Some Account of the Writings and Opinions of Clement of Alexandria","London: Griffith, Farran, Okeden, & Welsh",1890,"279 pp.","C","Drew, UCLA","Goo",,904
"Keble, John","Keble's Christian Year","London: Rivingtons",1874,"256 pp.","A","Wea, AU, LLU, LSU","Gute,CCEL",,905
"Keil, Karl F.","Handbuch der Biblischen Archaeologie","Frankfurt: Heyder and Zimmer",1875,"766 pp.","C","AU","Goo","AU has 1858 2-vol. ed.",906
"Keil, Karl F. and Franz Delitzsch","Biblical Commentary on The Old Testament","Edinburgh: T. & T. Clark","1865-1880","25 vols.","C","AU","Goo","Inventory has only Ezra, Nehemiah, and Esther, Kings, Chronicles, Jeremiah, Ezekiel, Daniel, twelve minor prophets",907
"Keim, Theodor","The History of Jesus of Nazara, Freely Investigated in its Connection..., Vol. 6","London: Williams and Norgate",1883,"449 pp.","B","WE, AU","Goo",,908
"Keith, Alexander","Demonstration of the Truth of the Christian Religion","Edinburgh, W. Whyte and Co.",1838,"459 pp.","C","AU","Arch",,909
"Keith, Alexander","Evidence of the Truth of the Christian Religion, Derived from the Literal Fulfillment of Prophecy","Edinburgh: W. Whyte and Co., etc.",1836,"402 pp.","C","Wea, AU, LLU, LSU","Goo","Many ed.",910
"Keith, Alexander","The History and Destiny of the World and of the Church, According to Scripture","London: T. Nelson & Sons",1861,,"C","AU, LLU",,,911
"Keith, Alexander","The Signs of the Times, as Denoted by the Fulfillment of Historical Predictions...","NY: J. Leavitt; Boston, Crocker & Brewster",1832,"2 Vols.","C","WEa",,,912
"Keith, James, and Dimbleby, J.B.","bound pamphlets",,,,"C",,,,913
"Kelley, William D.","The Old South and the New","NY: Putnam",1888,"162 pp.","B","NYPL, AU (Micro.)","Arch",,914
"Kellogg, John H.","First Book in Physiology and Hygiene","NY: American Book Co.",1888,"291 pp.","A","SDA",,,915
"Kellogg, John H.","Harmony of Science and the Bible on the Nature of the Soul and the Doctrine of the Resurrection","Battle Creek, Mi.: Review and Herald Publ. Assn.",1879,"224 pp.","A,B","SDA, WE",,"Spine title: The Soul and the Resurection",916
"Kellogg, John H.","Household Manual of Domestic Hygiene","Battle Creek, Mi.: Good Health Publ. Co.",1882,"172 pp.","(B)","SDA, WE",,"Together with: The Hygienic Cookbook.",917
"Kellogg, John H.","Ladies' Guide in Health and Disease","Battle Creek, Mi.: Good Health Publ. Co.",1890,"671 pp.","A","SDA, WE",,,918
"Kellogg, John H.","Miracle of Life","Battle Creek, Mi.: Good Health Publ. Assoc.",1904,"574 pp.","A,(B)","SDA, WE",,,919
"Kellogg, John H.","Plain Facts about Sexual Life","Battle Creek, Mi.: Office of the Health Reformer",1877,"356 pp.","A","SDA, WEa",,,920
"Kellogg, John H.","Pork, or The Dangers of Pork-Eating Exposed","Battle Creek, Mi.: Good Health Publ. Co.",1897,"21 pp.","(B)","SDA",,,921
"Kellogg, John H.","Rational Hydrotherapy; A Manual of the Physiological and Therapeutic Effects of Hydriatic Procedures, 2nd ed.","Phila.: F. A. Davis Co.",1902,"1193 pp.","B","SDA, WE",,"Also, prepubl. edition, 947 pp., WE",922
"Kellogg, John H.","Second Book in Physiology and Hygiene","NY: American Book Co.",1894,"291 pp.","A","SDA",,,923
"Kellogg, John H.","The Household Monitor of Health","Battle Creek, Mi.: Good Health Publ. Co.",1891,"408 pp.","(B)","SDA, WE",,,924
"Kellogg, John H.","The Hygienic Cookbook.","Battle Creek, Mi.: Office of the Health Reformer",1875,"127 pp.","(B)","SDA, WE",,"Together with: Household Manual of Domestic Hygiene",925
"Kellogg, John H.","The Living Temple","Battle Creek, Mi.: Good Health Publ. Assn.",1903,"568 pp.","B","SDA, WE",,,926
"Kellogg, John H.","The Uses of Water in Health and Disease","Battle Creek, Mi.: Office of the Health Reformer",1876,"154 pp.","(B)","SDA, WE",,,927
"Kellogg, Merritt G.","The Hygienic Family Physician","Battle Creek, Mi.: Office of the Health Reformer",1873,"380 pp.","(B)","SDA, WE",,,928
"Kellogg, Moses E.","The Supremacy of Peter, or, Did Christ Establish a Primacy in the Church","Battle Creek, Mi.: Review and Herald",1897,"290 pp.","(B)","SDA, WE",,,929
"Kempe, John E.","Elijah: a Course of Lectures Preached ... on the Fridays in Lent, A.D. 1862","London: n.p.",1862,"[162] pp.","C","ProvidenceSem","Goo",,930
"Kennedy, Benjamin H.","Ely Lectures on the Revised Version of the New Testament","London: Bentley",1882,"165 pp.","C","Emory, Yale","Goo",,931
"Kennedy, William S.","Messianic Prophecy, and the Life of Christ","NY: A.S. Barnes and Burr",1860,"484 pp.","B","WE, AU (Micro.), GTU",,,932
"Kenrick, Francis P.","The Primacy of the Apostolic See Vindicated","NY: E. Dunigan and Bro.",1848,"527 pp.","C","AU","Goo","1st pub. 1838",933
"Kent, Charles F.","A History of the Hebrew People...","NY: C. Scribner's Sons","1896-97","2 Vols.","C","AU, LSU","Goo,Arch,DBI",,934
"Kenyon, Frederic G.","Our Bible and the Ancient Manuscripts; Being a History of the Text and Its Translations","NY: Eyre and Spottiswoode",1903,"255 pp.","C","AU, LLU, PUC","Goo","1st pub. 1895",935
"Kern, Milton E.","Distribution of the Races","College View, Neb.: Inter'l Pub. Assoc.",1907,,"B","SDA",,,936
"Kett, Henry","History the Interpreter of Prophecy; or, A View of Scriptural Prophecies and their Accomplishment in the Past and Present Occurences in the World","Oxford: Hanwell and Parker",1799,"3 Vols.","C","AU, LLU","Goo",,937
"Kimball, James W.","Heaven, ""My Father's House""","Boston: Gould and Lincoln",1857,"281 pp.","A","OC, Yale, AU, LLU","Goo",,938
"Kimchi, David","Rabbi David Kimchi's Commentary upon the Prophecies of Zechariah, transl. A. McCaul","London: J. Duncan",1837,"188 pp.","C","Fuller, Yale","Arch",,939
"King, John","Lectures Upon Jonah","Edinburgh: James Nichol",1864,"462 pp.","B","WE, AU","Arch",,940
"Kirk, Edward","Lectures on the Parables of our Saviour","NY: John F. Trow",1856,"506 pp.","C,H","WE, AU","Arch",,941
"Kirkpatrick, Alexander F.","The Doctrine of the Prophets. The Warburton Lectures for 1886-1890","London: NY, Macmillan & Co.",1897,"544 pp.","B","LC, Wea, LLU, LSU","Goo",,942
"Kitto, John","Daily Bible Illustrations; Being Original Readings for a Year, ...","Edinburgh: W. Oliphant and Co., etc.","1863-64","8 Vols.","C","AU, LLU, LSU","Goo","AU has 6-vol. set and LLU has 4-vol. set",943
"Kitto, John, ed.","Cyclopedia of Biblical Literature","NY: Ivison & Phinney",1858,"2 Vols.","(A),B,C","WE. AU, LSU","Goo,MOA","3 volumes on Crisler list",944
"Knight, Helen, comp.","Lady Huntington and Her Friends; or, The Revival of the Work of God in the Days of Wesley, Whitefield, Romaine, Venn, and Others in the Last Century","NY: American Tract Society",1853,"292 pp.","(A),(B),H","WE, AU","MOA",,945
"Knowles, James D.","Memoir of Ann H. Hudson, Late Missionary to Burmah","Boston: Gould, Kendall and Lincoln",1843,"392 pp.","C","AU","DBI",,946
"Konig, Friedrich E.","The Religious History of Israel, tr. Alexander J. Campbell","Edinburgh: T. & T. Clark",1885,"192 pp.","C","Emory, NYPL, Iliff","Goo",,947
"Konig, Gustav","The Life of Martin Luther: The German Reformer in Fifty Pictures","Phila.: William Flint",1868,"207 pp.","B","WE, LLU",,"LLU copy has 48 pictures; co-authored by Heinrich Gelzer",948
"Krummacher, Friedrich W.","Christ and His People","London: Seeley, Jackson, and Halliday",1855,"379 pp.","A","Vanderb.",,"Only 3 libraries have this: original title, Martyr Lamb",949
"Krummacher, Friedrich W.","Elijah the Tishbite","NY: American Tract Society","n.d.","458 pp.","A,B,C","WE, AU, LLU, LSU","Goo",,950
"Krummacher, Friedrich W.","Elisha","London: The Religious Tract Society",1838,"251 pp.","A,B,C","WEa AU, GTU","Goo","Several editions (1st Amer. ed. 1840, Philadelphia)",951
"Krummacher, Friedrich W.","Last Days of Elisha","NY: R. Carter and Bros.",1849,"297 pp.","C","DTS","Goo",,952
"Kuenen, A.","The Prophets and Prophecy in Israel","London: Longmans, Green, and Co.",1877,"593 pp.","C","AU","Goo",,953
"Lacunza, Manual, (Ben Ezra, penname)","The Coming of Messiah in Glory and Majesty, tr. Edward Irving","London: L.B. Seeley",1827,"2 Vols.","B","AU, LSU, PUC, Fuller","Goo (vol. 1)",,954
"Lake, Kirsopp","The Text of the New Testament","London: Rivingtons",1900,"104 pp.","C","AU, LLU","Goo",,955
"Lambert, Almeda","Guide for Nut Cooking","Battle Creek, Mi.: J. Lambert",1899,"451 pp.","A","SDA, WEa",,,956
"Landels, William","The Young Man in the Battle of Life","London: Casssell & Co.",1882,"273 pp.","A","AU, Emory, SBTS",,,957
"Landon, Edward H.","A Manual of Councils of the Holy Catholick Church","London: Francis and John Rivington",1846,"732 pp.","B","WE, AU","Arch",,958
"Lane, Sands H.","Our Paradise Home","Battle Creek, Mi.: Review and Herald",1903,"128 pp.","A","SDA, WE",,"(also ""Berean Library"" 10)B, WE",959
"Lange, Johann P.","A Commentary on the Holy Scriptures: Critical, Doctrinal, Homiletical, tr. P. Schaff","NY: C. Scribner","1865-1901","98 Vols.","C",,"Arch","On inventory: Books of Kings; Chronicles; Jeremiah and Lamentations; Ezekiel; Minor Prophets; Acts",960
"Langille, James H.","Save the Erring; or the Gospel Purpose","NY: American Tract Society",1865,"164 pp.","A","LC, OC, Yale",,,961
"Lansdell, Henry","The Sacred Tenth; or, Studies in Tithe-giving, Ancient and Modern","London: Soc. for Promoting Christian Knowledge; NY: E.S. Gorham",1906,"2 Vols.","C","AU, LLU","Arch","LLU has his:Tithe in Scripture, which is an abridged edition of The Sacred Tenth",962
"Lanyard, Mrs. Ellen","God's Message in Low London","London: J. Nisbet & Co.",1871,"288 pp.",,"UTS, NYPL",,,963
"Lathrop, S.G.","Fifty Years and Beyond; or Gems for the Aged","Chicago: F.H. Revell",1881,"400 pp.","A","LC, AU, LLU, LSU","Goo",,964
"Lawson, George","Discourses on the Whole Book of Esther...","Edinburgh: Pillans",1804,"391 pp.","C","AU","Goo","Google has 1809 ed.",965
"Le Bas, Charles Webb","The Life of Wiclif","NY: J.J. Harper",1832,"395 pp.","B","WE, AU","Goo",,966
"Leach, Charles","How I Reached the Masses","NY: Fleming H. Revell",1888,"243 pp.","A","UTS, GTU, Wea, AU",,,967
"Leathes, Stanley","The Law in the Prophets","London: NY, Eyre and Spottiswoode",1891,"312 pp.","C","AU","Arch",,968
"Leavitt, John M.","Reasons for Faith in Christianity, with Answers to Hypercriticism","NY: Eaton and Mains; Cincinnati: Jennings and Pye",1900,"240 pp.","C","LC, Trinity, Calvin","Goo",,969
"Lee, Alfred","The Life of the Apostle John, in a Series of Practical Discourses","NY: Protestant Episcopal Society",1858,"205 pp.","B","WE, AU, ColU, Yale",,,970
"Lee, Luther","Elements of Theology, or An Expos. of the Divine Origin, Doctrines, ...of Christianity","NY: Miller, Orton & Mulligan",1856,"580 pp.","A","LC, AU",,,971
"Lee, Samuel","The Book of the Patriarch Job, Translated from the Original Hebrew, ...","London: James Duncan",1837,"555 pp.","B","WE, Yale, Fuller","Arch",,972
"Lee, William","The Inspiration of Holy Scripture, Its Nature and Proof","Dublin: Hodges, Smith and Co.",1865,"607 pp.","B","WE, AU, LSU","Goo",,973
"Lenfant, Jacques","Histoire du Concile de Constance","Amsterdam: P. Humbert",1727,"2 Vols.","B","WE, LC, Harv., UMich","Goo","AU has English translation",974
"Lewin, Thomas","The Life and Epistles of St. Paul","NY: Scribner, Welford & Armstrong",1875,"2 Vols.","B","WE, AU, LSU","Goo",,975
"Lewis, Charles C.","Course of Study; and a Mothers' and Teachers' Manual for Home and Church Schools","Battle Creek, Mi.: Review and Herald","c.1901","185 pp.","B","SDA, WE",,,976
"Lewis, Dio","Weak Lungs and How to Make Them Strong","Boston: Ticknor & Fields",1863,"360 pp.","A","WE, AU, LLU, UMich","Goo",,977
"Lewis, John","History of the Life and Sufferings of John Wiclif","Oxford: Clarendon Press",1820,"389 pp.","B","WE, Fuller","Goo","AU has 1973 reprint",978
"Lias, John J.","Principles of Biblical Criticism","London: Eyre and Spottiswoods",1893,"262 pp.","C","LSU","Arch",,979
"Lightfoot, Joseph B.","On a Fresh Revision of the English New Testament","London: NY: Macmillan and Co.",1871,"259 pp.","C","AU, LSU","Goo",,980
"Lightfoot, Joseph B., etc.","The Revision of the English Version of the New Testament","NY: Harper and Bros.",1873,"3 Vols.","C","AU, PUC","Goo",,981
"Liguori, Alphonso Maria de","Saint Alphonsus Liguori: or, Extracts, tr. R.P. Blakeney","London: The Reformation Society",1852,"384 pp.","C","AU","Arch",,982
"Limborch, Phillippus van","The History of the Inquisition, as It has Subsisted in France, Italy, Spain, Portugal, ...","London: W. Simpkin and R. Marshall",1816,"542 pp.","C","AU, PUC","DBI","1st pub. 1731",983
"Lisco, Frederick G.","The Parables of Jesus","Edinburgh: T. & T. Clark",1853,"400 pp.","A","Biola, U.Chicago, UM","Arch,Hathi,MOA",,984
"Litch, Josiah","Judaism Overthrown: or, The Kingdom Restored to the True Israel","Boston: J.V. Himes",1842,"36 pp.","B","WEm, AU, LLU, PUC",,"2nd Advent Lib., no. 25",985
"Litch, Josiah","Prophetic Expositions; or, A Connected View of the Testimony of the Prophets...","Boston: Joshua V. Himes",1842,"207/247 pp.","B","WE, AU, LLU, LSU","Goo","2 Vols.",986
"Little, George O.","The Royal Houses of Israel and Judah, an Interwoven History with a Harmony of Parallel Passages","NY: London, Funk and Wagnalls Co.",1901,"329 pp.","C","Harv., Yale, Fuller","Goo",,987
"Littlejohn, Wolcott H., ed.","The Constitutional Amendment","Battle Creek, Mi.: Steam Press",1873,"384 pp.","(B)","SDA, WE","MOA",,988
"Lobb, John, ed.","Life and Times of Frederick Douglass from 1817-1882","London: Christian Age Office",1882,"454 pp.","S","LC, NYPL","Goo",,989
"Loftis, Zenas S.","A Message from Batang; the Diary of Z.S. Loftis, M.D., Missionary to Tibetans","NY, Chic.: Fleming H. Revell Co.",1911,"160 pp.","B","LC, OC, UTS, GTU","Goo",,990
"Loomis, Elias","Elements of Geometry and Conic Sections, (Loomis' Geometry)","NY: Harper and Bros.",1847,"222 pp.","A",,"Goo,MOA",,991
"Lord, John","Beacon Lights of History","NY: Fords, Howard, and Hurlburt","1884-96","8 Vols.","C","AU, LSU","Goo","Vols. 1-3 are on Crisler list �",992
"Lorimer, John G.","An Historical Sketch of the Protestant Church of France, from its Origin to the Present Times","Phila.: Presbyterian Board of Publ.",1842,"514 pp.","C","Wea, UMich, Calvin",,,993
"Loughborough, John N.","Handbook of Health; or, A Brief Treatise on Physiology and Hygiene","Battle Creek, Mi.: Steam Press",1868,"227 pp.","A,B","SDA, WE",,,994
"Loughborough, John N.","Rise and Progress of Seventh-day Adventists","Battle Creek, Mi.: Gen. Conf. Assoc.",1892,"392 pp.","C","SDA",,"German edition on Crisler list",995
"Loughborough, John N.","The Great Second Advent Movement: Its Rise and Progress","Nashville, Tenn.: Southern Publ. Assn.",1905,"480 pp.","B","SDA, WE",,"WE has several different eds.",996
"Lowe, John","Medical Missions: Their Place and Power","London: Simpki Marshall, Hamilton, Kent, and Co., Ltd.",1890,"292 pp.","B","WE, AU","Goo",,997
"Lowth, Robert","Isaiah: A New Translation","Albany, N.Y.: C.R. & G. Webster",1794,,"C","AU","Goo",,998
